,candidate,freq,length,cap,start_of_sen,abbrv,all_cap,is_csl,title,has_no,date,is_apostrp,has_inter_punct,ends_verb,ends_adverb,change_in_cap,topic_ind,entry_time,entry_batch,@mention
0,rd 1,2,2,,,,,,,,,,,,,,,22:41:2,58,
1,rd 2,1,2,,,,,,,,,,,,,,,22:41:0,53,
2,ppv,2,1,,,,,,,,,,,,,,,22:41:1,56,
3,goodbye,1,1,,,,,,,,,,,,,,,22:40:50,18,
4,donald,5,1,,,,,,,,,,,,,,,22:40:48,8,
5,donald trump,8,2,,,,,,,,,,,,,,,22:40:46,1,
6,donald trump russia,1,3,,,,,,,,,,,,,,,22:40:48,8,
7,russias,1,1,,,,,,,,,,,,,,,22:40:47,6,
8,may 13th: niall,3,3,,,,,,,,,,,,,,,22:40:54,32,
9,may 13th,3,2,,,,,,,,,,,,,,,22:40:56,39,
10,macron,1,1,,,,,,,,,,,,,,,22:40:59,50,
11,mike,1,1,,,,,,,,,,,,,,,22:40:56,40,
12,mike vick,1,2,,,,,,,,,,,,,,,22:40:48,9,
13,mike dean liberty university stoke,1,5,,,,,,,,,,,,,,,22:40:54,30,
14,mike flynn,1,2,,,,,,,,,,,,,,,22:40:47,5,
15,enter ground,1,2,,,,,,,,,,,,,,,22:41:2,60,
16,crazy,1,1,,,,,,,,,,,,,,,22:41:1,57,
17,crazy raccoon gosha loves washing,1,5,,,,,,,,,,,,,,,22:40:55,37,
18,josh,1,1,,,,,,,,,,,,,,,22:40:54,33,
19,azerbaijan,1,1,,,,,,,,,,,,,,,22:40:52,25,
20,eddie,2,1,,,,,,,,,,,,,,,22:41:0,52,
21,eddie alvarez,3,2,,,,,,,,,,,,,,,22:41:1,55,
22,russia--why,3,1,,,,,,,,,,,,,,,22:40:58,45,
23,africa,4,1,,,,,,,,,,,,,,,22:40:57,43,
24,standing,2,1,,,,,,,,,,,,,,,22:40:54,30,
25,hallmark,1,1,,,,,,,,,,,,,,,22:40:47,5,
26,phd,1,1,,,,,,,,,,,,,,,22:40:48,9,
27,poland,2,1,,,,,,,,,,,,,,,22:40:59,50,
28,puppet master,1,2,,,,,,,,,,,,,,,22:40:46,1,
29,celebrate diversity,1,2,,,,,,,,,,,,,,,22:40:52,25,
30,american,14,1,,,,,,,,,,,,,,,22:40:46,0,
31,american christians,2,2,,,,,,,,,,,,,,,22:40:49,11,
32,american health system,1,3,,,,,,,,,,,,,,,22:40:51,20,
33,american health care act,1,4,,,,,,,,,,,,,,,22:40:49,11,
34,p3ople,1,1,,,,,,,,,,,,,,,22:40:58,47,
35,mercedes f015 concept car drives,1,5,,,,,,,,,,,,,,,22:40:55,35,
36,back,1,1,,,,,,,,,,,,,,,22:40:55,36,
37,rae lewis-thornton daily,2,3,,,,,,,,,,,,,,,22:40:50,18,
38,carrot,1,1,,,,,,,,,,,,,,,22:40:56,40,
39,russia-trump,1,1,,,,,,,,,,,,,,,22:40:48,9,
40,knew,2,1,,,,,,,,,,,,,,,22:40:47,3,
41,folks,1,1,,,,,,,,,,,,,,,22:40:47,6,
42,pics of miley,1,3,,,,,,,,,,,,,,,22:40:56,41,
43,mexico,1,1,,,,,,,,,,,,,,,22:40:53,27,
44,french,2,1,,,,,,,,,,,,,,,22:40:58,46,
45,chained,1,1,,,,,,,,,,,,,,,22:40:56,40,
46,fun fact,1,2,,,,,,,,,,,,,,,22:40:48,9,
47,dave matthews,1,2,,,,,,,,,,,,,,,22:40:49,12,
48,nunez,1,1,,,,,,,,,,,,,,,22:40:48,7,
49,australia,7,1,,,,,,,,,,,,,,,22:40:52,25,
50,10-9s,1,1,,,,,,,,,,,,,,,22:41:2,58,
51,le pen,2,2,,,,,,,,,,,,,,,22:40:53,28,
52,40s,4,1,,,,,,,,,,,,,,,22:40:58,47,
53,senate,21,1,,,,,,,,,,,,,,,22:40:48,8,
54,senate gop,1,2,,,,,,,,,,,,,,,22:40:49,13,
55,senate on obamacare,2,3,,,,,,,,,,,,,,,22:40:50,15,
56,senate in 2018,2,3,,,,,,,,,,,,,,,22:40:50,18,
57,king 2,4,2,,,,,,,,,,,,,,,22:40:47,4,
58,mma,6,1,,,,,,,,,,,,,,,22:41:1,56,
59,mma tycoon,3,2,,,,,,,,,,,,,,,22:41:2,59,
60,slavery,3,1,,,,,,,,,,,,,,,22:40:57,44,
61,dance,2,1,,,,,,,,,,,,,,,22:40:57,44,
