,candidate,freq,length,cap,start_of_sen,abbrv,all_cap,is_csl,title,has_no,date,is_apostrp,has_inter_punct,ends_verb,ends_adverb,change_in_cap,topic_ind,entry_time,entry_batch,@mention
0,east,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
1,british,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:44,0,0
2,conversation,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
3,devout jews,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:36,0,0
4,denmark,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:36,0,0
5,crooked hillary,89,1,89,89,0,0,0,0,0,0,0,0,0,0,0,0,22:40:36,0,0
6,mueller,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
7,main russian,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
8,sick,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,22:40:33,0,0
9,sick man,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,22:40:44,0,0
10,sick pricks,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,22:40:55,0,0
11,financialtimes anthony weiner,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:55,0,0
12,amen,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
13,beny steinmetz,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
14,quicker,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
15,dump,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
16,pitch trump,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,22:40:29,0,0
17,oekraïne,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
18,deep state,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:37,0,0
19,wolf blitzer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:45,0,2
20,trump-supporting republican,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:37,0,0
21,feds,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:40,0,0
22,arabica,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
23,cluster fk,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
24,mandatory,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22:40:37,0,0
25,20 years,4,1,4,0,0,4,0,0,4,0,0,0,0,0,0,0,22:40:52,0,0
26,20 years in prison,3,1,3,0,0,3,0,0,3,0,0,0,0,0,3,0,22:40:41,0,0
27,key,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:43,0,0
28,prez horndog,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
29,solid gold,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:42,0,0
30,lavrov,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
31,rw,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22:40:30,0,0
32,albert schlong,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:38,0,0
33,army,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
34,rabbinical get,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
35,back,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
36,parody of air force one,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:30,0,0
37,yo anthony weiner,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:44,0,0
38,guantanamo,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
39,16-y.o,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:52,0,0
40,cookies anthony weiner,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:54,0,0
41,ohio,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
42,reopen,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:40,0,0
43,amistad in 1839,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,22:40:30,0,0
44,twiiter on air force one,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22:40:33,0,0
45,joint chiefs,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
46,really-read,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:37,0,0
47,starring samuel jackson,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22:40:34,0,0
48,putinville,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
49,newsflash,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
50,wee wee's bigly adventure,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,22:40:32,0,0
51,msm,6,1,6,0,5,5,0,0,0,0,0,0,0,0,0,0,22:40:44,0,0
52,upvoted ex-congressman anthony weiner pleads guilty,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,22:40:50,0,0
53,sickness,7,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,22:40:38,0,0
54,robert moore,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:42,0,0
55,chris hansen,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:54,0,0
56,chris matthews,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:50,0,0
57,foreign mission,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,22:40:34,0,0
58,otp,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
