,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,class,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
0,senate,0,1,15,0,0,0,3,1,19,0.9955202340135979,,0.7894736842105263,0.0,0.0,0.0,0.15789473684210525,0.05263157894736842,0.9949046117140888,g
5,jolene,0,1,5,0,0,0,0,1,6,0.03506350617879117,,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.9999856800395782,g
6,since,0,1,1,0,3,0,6,1,11,0.4044699399614092,,0.09090909090909091,0.0,0.2727272727272727,0.0,0.5454545454545454,0.09090909090909091,0.06592287891976246,b
8,die,0,1,1,0,0,0,14,2,17,0.8477576605005507,,0.058823529411764705,0.0,0.0,0.0,0.8235294117647058,0.11764705882352941,0.012868432843167098,b
9,friendship,0,1,1,0,1,0,2,0,4,-0.11269906733425604,,0.25,0.0,0.25,0.0,0.5,0.0,0.28899892072366606,b
11,judge,0,1,1,0,0,0,4,1,6,0.03506350617879117,,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.06189967490966415,b
12,love,0,1,2,0,4,4,57,15,82,5.6500412996745855,,0.024390243902439025,0.0,0.04878048780487805,0.04878048780487805,0.6951219512195121,0.18292682926829268,0.019063950468492963,b
16,trumpcare,0,1,5,0,0,0,0,1,6,0.03506350617879117,,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.9999856800395782,g
19,4th,0,1,0,0,0,0,3,1,4,-0.11269906733425604,,0.0,0.0,0.0,0.0,0.75,0.25,0.009629389963441697,b
20,greet,0,1,1,0,0,0,4,0,5,-0.038817780577732434,,0.2,0.0,0.0,0.0,0.8,0.0,0.05411509646602097,b
23,manafort,0,1,2,0,0,0,2,0,4,-0.11269906733425604,,0.5,0.0,0.0,0.0,0.5,0.0,0.7798895842956127,g
25,on the loose,0,3,9,0,0,0,0,2,11,0.4044699399614092,,0.8181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.3387521783668689,b
30,carter,0,1,20,0,1,0,0,4,25,1.4388079545527395,,0.8,0.0,0.04,0.0,0.0,0.16,0.9972998460382186,g
32,sean spicer,0,2,7,0,0,0,0,5,12,0.4783512267179328,,0.5833333333333334,0.0,0.0,0.0,0.0,0.4166666666666667,0.7403707183786158,a
36,buy,0,1,2,0,2,0,2,0,6,0.03506350617879117,,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6677419320413087,a
39,con,0,1,1,0,1,0,2,0,4,-0.11269906733425604,,0.25,0.0,0.25,0.0,0.5,0.0,0.28899892072366606,b
40,died,0,1,0,0,0,1,4,0,5,-0.038817780577732434,,0.0,0.0,0.0,0.2,0.8,0.0,0.018206141533328998,b
46,hillary,0,1,8,0,0,0,3,0,11,0.4044699399614092,,0.7272727272727273,0.0,0.0,0.0,0.2727272727272727,0.0,0.9867660099378746,g
48,nunes,0,1,3,0,1,0,1,1,6,0.03506350617879117,,0.5,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.9419125314469297,g
52,msm,0,1,0,0,0,4,0,1,5,-0.038817780577732434,,0.0,0.0,0.0,0.8,0.0,0.2,0.8003700074899105,g
54,lives,0,1,0,0,0,1,12,1,14,0.62611380023098,,0.0,0.0,0.0,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.008736410781272413,b
57,single,0,1,0,0,0,0,12,1,13,0.5522325134744563,,0.0,0.0,0.0,0.0,0.9230769230769231,0.07692307692307693,0.0052663857948743046,b
59,slavery,0,1,1,0,0,0,12,3,16,0.7738763737440272,,0.0625,0.0,0.0,0.0,0.75,0.1875,0.01740922004381925,b
66,prince,0,1,4,0,0,1,1,1,7,0.10894479293531477,,0.5714285714285714,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9801565451648319,g
68,sean spicer carter page,0,4,1,0,0,0,0,3,4,-0.11269906733425604,,0.25,0.0,0.0,0.0,0.0,0.75,0.024215669774618958,b
69,stay,0,1,0,0,2,0,7,1,10,0.33058865320488556,,0.0,0.0,0.2,0.0,0.7,0.1,0.014666099371240813,b
70,hailee steinfeld,0,2,7,0,0,0,0,0,7,0.10894479293531477,,1.0,0.0,0.0,0.0,0.0,0.0,0.9850093954167649,g
77,alessia,0,1,0,0,2,0,2,0,4,-0.11269906733425604,,0.0,0.0,0.5,0.0,0.5,0.0,0.045275640833572495,b
90,soon,0,1,0,0,0,1,7,0,8,0.18282607969183837,,0.0,0.0,0.0,0.125,0.875,0.0,0.010230023634622724,b
92,better,0,1,0,0,0,0,10,1,11,0.4044699399614092,,0.0,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0055166906359117125,b
94,next,0,1,0,0,0,2,27,3,32,1.9559769618484049,,0.0,0.0,0.0,0.0625,0.84375,0.09375,0.008828014331144775,b
98,making,0,1,1,0,0,0,8,0,9,0.25670736644836195,,0.1111111111111111,0.0,0.0,0.0,0.8888888888888888,0.0,0.01676591705345779,b
100,replace,0,1,0,0,0,1,8,1,10,0.33058865320488556,,0.0,0.0,0.0,0.1,0.8,0.1,0.011993796882023636,b
103,niall,0,1,19,0,36,0,5,18,78,5.354516152648491,,0.24358974358974358,0.0,0.46153846153846156,0.0,0.0641025641025641,0.23076923076923078,0.7112161837305195,a
109,two,0,1,0,0,1,1,16,1,19,0.9955202340135979,,0.0,0.0,0.05263157894736842,0.05263157894736842,0.8421052631578947,0.05263157894736842,0.009082190523987232,b
110,the house republicans,0,3,3,0,0,0,1,0,4,-0.11269906733425604,,0.75,0.0,0.0,0.0,0.25,0.0,0.17930979725004284,b
112,bad things,0,2,6,0,0,0,0,0,6,0.03506350617879117,,1.0,0.0,0.0,0.0,0.0,0.0,0.9850093954167649,g
120,obama,0,1,10,0,3,0,5,6,24,1.364926667796216,,0.4166666666666667,0.0,0.125,0.0,0.20833333333333334,0.25,0.8508637118030021,g
124,israel,0,1,0,0,3,0,1,1,5,-0.038817780577732434,,0.0,0.0,0.6,0.0,0.2,0.2,0.1346079698308523,b
139,stipe,0,1,3,0,0,0,1,0,4,-0.11269906733425604,,0.75,0.0,0.0,0.0,0.25,0.0,0.9900377571922083,g
142,awesome,0,1,1,0,2,0,8,0,11,0.4044699399614092,,0.09090909090909091,0.0,0.18181818181818182,0.0,0.7272727272727273,0.0,0.03125935355130367,b
143,frankie,0,1,9,0,6,0,1,3,19,0.9955202340135979,,0.47368421052631576,0.0,0.3157894736842105,0.0,0.05263157894736842,0.15789473684210525,0.9565582492741646,g
145,cnn,0,1,0,0,0,4,2,1,7,0.10894479293531477,,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.3843381266970699,b
