,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,class,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
1,goodbye,18,1,2,0,0,1,2,7,12,-0.021657947039253653,,0.16666666666666666,0.0,0.0,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.3717237518847362,b
2,donald,8,1,66,0,0,0,0,0,66,0.8478101813729657,,1.0,0.0,0.0,0.0,0.0,0.0,0.9999985144281818,g
4,carter page,0,2,407,1,0,0,11,49,468,7.320517359552821,,0.8696581196581197,0.002136752136752137,0.0,0.0,0.023504273504273504,0.1047008547008547,0.958800420227893,g
12,bad things,36,2,113,0,0,0,0,0,113,1.6045694783243418,,1.0,0.0,0.0,0.0,0.0,0.0,0.9833076278195383,g
18,standing,30,1,0,0,0,1,10,0,11,-0.03775920867651698,,0.0,0.0,0.0,0.09090909090909091,0.9090909090909091,0.0,0.008581408981008492,b
24,maia,51,1,94,0,53,0,20,4,171,2.5384426532856144,,0.5497076023391813,0.0,0.30994152046783624,0.0,0.11695906432748537,0.023391812865497075,0.9709802978838888,g
25,american,0,1,58,0,0,0,0,52,110,1.5562656934125518,,0.5272727272727272,0.0,0.0,0.0,0.0,0.4727272727272727,0.9594348217149917,g
28,back,36,1,0,0,1,1,26,4,32,0.3003672857060128,,0.0,0.0,0.03125,0.03125,0.8125,0.125,0.009732779932596455,b
33,folks,6,1,0,0,0,2,6,0,8,-0.08606299358830694,,0.0,0.0,0.0,0.25,0.75,0.0,0.028450042861219438,b
34,frankie edgar,51,2,22,1,0,0,0,5,28,0.2359622391569595,,0.7857142857142857,0.03571428571428571,0.0,0.0,0.0,0.17857142857142858,0.9306092945510044,g
36,on the loose,31,3,30,0,0,0,0,3,33,0.3164685473432761,,0.9090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.43080956131758635,a
38,102.7 kiis fm,34,3,0,6,0,0,0,0,6,-0.11826551686283358,,0.0,1.0,0.0,0.0,0.0,0.0,0.00846632817257649,b
42,australia,25,1,6,2,4,0,1,6,19,0.0910508844215896,,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.0,0.05263157894736842,0.3157894736842105,0.7954934140766013,g
45,sing,18,1,1,0,3,0,3,3,10,-0.053860470313780294,,0.1,0.0,0.3,0.0,0.3,0.3,0.17108933065829918,b
46,mma,56,1,0,0,0,9,1,0,10,-0.053860470313780294,,0.0,0.0,0.0,0.9,0.1,0.0,0.8006305244772267,g
48,slavery,44,1,1,0,0,0,8,2,11,-0.03775920867651698,,0.09090909090909091,0.0,0.0,0.0,0.7272727272727273,0.18181818181818182,0.026288611975993834,b
51,russians,0,1,6,0,0,0,0,0,6,-0.11826551686283358,,1.0,0.0,0.0,0.0,0.0,0.0,0.9999985144281818,g
55,whites,41,1,3,0,0,0,10,0,13,-0.00555668540199033,,0.23076923076923078,0.0,0.0,0.0,0.7692307692307693,0.0,0.07914653457403655,b
61,sessions,6,1,1,0,0,0,4,0,5,-0.1343667785000969,,0.2,0.0,0.0,0.0,0.8,0.0,0.056216583766241696,b
65,actually,16,1,1,0,2,0,10,2,15,0.026645837872536313,,0.06666666666666667,0.0,0.13333333333333333,0.0,0.6666666666666666,0.13333333333333333,0.030629198660899432,b
75,gop,5,1,1,0,0,76,0,4,81,1.0893291059319157,,0.012345679012345678,0.0,0.0,0.9382716049382716,0.0,0.04938271604938271,0.8730473748812582,g
78,wh,3,1,0,0,0,5,0,1,6,-0.11826551686283358,,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.8114605262148772,g
79,meia,54,1,0,0,0,0,8,0,8,-0.08606299358830694,,0.0,0.0,0.0,0.0,1.0,0.0,0.004519101921074555,b
80,america,4,1,20,0,4,0,14,5,43,0.4774811637159094,,0.46511627906976744,0.0,0.09302325581395349,0.0,0.32558139534883723,0.11627906976744186,0.8449732800778522,g
90,joe,1,1,10,0,0,1,0,10,21,0.12325340769611624,,0.47619047619047616,0.0,0.0,0.047619047619047616,0.0,0.47619047619047616,0.9466388050556319,g
96,scarface,51,1,27,0,2,0,10,2,41,0.4452786404413827,,0.6585365853658537,0.0,0.04878048780487805,0.0,0.24390243902439024,0.04878048780487805,0.9773339615507766,g
97,excited,20,1,1,0,0,0,4,1,6,-0.11826551686283358,,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.06397763523403938,b
99,new,36,1,2,0,1,2,42,1,48,0.557987471902226,,0.041666666666666664,0.0,0.020833333333333332,0.041666666666666664,0.875,0.020833333333333332,0.011874537865722156,b
100,left,43,1,2,0,0,0,9,0,11,-0.03775920867651698,,0.18181818181818182,0.0,0.0,0.0,0.8181818181818182,0.0,0.0444330297930314,b
102,eurovision,22,1,6,0,2,0,1,1,10,-0.053860470313780294,,0.6,0.0,0.2,0.0,0.1,0.1,0.9805240511339104,g
108,sean spicer,0,2,8,0,0,0,0,12,20,0.10715214605885293,,0.4,0.0,0.0,0.0,0.0,0.6,0.37808309347287145,b
112,love,25,1,1,0,3,4,53,41,102,1.4274556003144454,,0.00980392156862745,0.0,0.029411764705882353,0.0392156862745098,0.5196078431372549,0.4019607843137255,0.03175241510685459,b
115,hillary clinton,3,2,3,0,0,0,0,5,8,-0.08606299358830694,,0.375,0.0,0.0,0.0,0.0,0.625,0.3333233780248391,b
116,ahca,14,1,0,0,0,5,0,0,5,-0.1343667785000969,,0.0,0.0,0.0,1.0,0.0,0.0,0.882373505898254,g
117,need,40,1,0,0,0,1,9,2,12,-0.021657947039253653,,0.0,0.0,0.0,0.08333333333333333,0.75,0.16666666666666666,0.014366478495853327,b
127,bc,18,1,0,0,0,1,5,1,7,-0.10216425522557027,,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.020755433315682425,b
134,wrong,7,1,0,0,0,1,5,1,7,-0.10216425522557027,,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.020755433315682425,b
135,jorge,51,1,10,0,2,0,2,0,14,0.010544576235272992,,0.7142857142857143,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.9913071204418203,g
138,hate,42,1,0,0,1,1,20,2,24,0.17155719260790622,,0.0,0.0,0.041666666666666664,0.041666666666666664,0.8333333333333334,0.08333333333333333,0.009551611727241328,b
139,genius,23,1,6,0,0,0,0,0,6,-0.11826551686283358,,1.0,0.0,0.0,0.0,0.0,0.0,0.9999985144281818,g
