,2nd Iteration Candidates,TweetSentence,annotation,completeness,current_minus_entry,entry_batch,hashtags,index,phase1Candidates,sentID,tweetID,user
0,"['fbi', 'fisa', 'trump']","REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'","['fbi', 'fisa', 'trump', 'russian government']",True,0.0,0,RussiaGate,,nan,0,0,JanKimbrough
1,[],BUSTED....,['nan'],True,0.0,0,nan,,nan,0,1,zi_cam
2,"['carter page', 'fisa', 'trump']",Carter Page is trending but 3 weeks ago there were no FISA warrants on team Trump.,"['carter page', 'fisa', 'trump']",True,0.0,0,nan,,Carter Page::*0*1*||FISA::*11*||Trump::*15*||,0,2,sicsemp4ever
3,[],I love how liberals have a 36 hour memory,['liberals'],True,0.0,0,nan,,,1,2,sicsemp4ever
4,['looks'],Looks like it might be time for some more tomahawks…,['tomahawks'],True,0.0,0,nan,,,0,3,raponikoff
5,"['sean spicer', 'carter page']",Sean Spicer on Carter Page:,"['sean spicer', 'carter page']",True,0.0,0,nan,,nan,0,4,MsEntropy
6,['carter page'],"""Carter Page""  @FBI @AdamSchiffCA @MarkWarner @NancyPelosi @HillaryClinton @MSNBC @maddow @washingtonpost",['carter page'],True,0.0,0,FISA,,Carter Page::*0*1*||,0,5,Class_of_78
7,[],I get stuck on things.,[],True,0.0,0,nan,,,0,6,cjpfeiff
8,"['session', 'carter page']","Tonight's special, Session brought in Carter Page, a foreign agent:","['session', 'carter page']",True,0.0,0,nan,,Session::*2*||Carter Page::*5*6*||,1,6,cjpfeiff
9,"['flynn', 'russians']",I guess this explains the interview he gave after Flynn resigned where he blathered incoherently when asked about his contact with Russians,"['flynn', 'russians']",True,0.0,0,nan,,Flynn::*9*||Russians::*21*||,0,7,pignponyrfriend
10,[],May the media never lose focus,[],True,0.0,0,nan,,,0,8,itsShonny
11,"['looks', 'looks']",@CassandraRules Looks like someone else is having a bad day and looks like @LouiseMensch was right!,[],True,0.0,0,nan,,Looks::*1*||,0,9,GilesBgiles1974
