,2nd Iteration Candidates,TweetSentence,hashtags,phase1Candidates,sentID,tweetID,user
0,"['report fbi', 'fisa warrant', 'trump']","REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'",RussiaGate,nan,0,0,JanKimbrough
1,[],BUSTED....,nan,nan,0,1,zi_cam
2,"['carter page', 'fisa']",Carter Page is trending but 3 weeks ago there were no FISA warrants on team Trump.,nan,Carter Page::*0*1*||FISA::*11*||Trump::*15*||,0,2,sicsemp4ever
3,"['love', 'liberals']",I love how liberals have a 36 hour memory,nan,,1,2,sicsemp4ever
4,"['looks', 'time']",Looks like it might be time for some more tomahawks…,nan,,0,3,raponikoff
5,"['sean spicer', 'carter page']",Sean Spicer on Carter Page:,nan,,0,4,MsEntropy
6,['carter page'],"""Carter Page""  @FBI @AdamSchiffCA @MarkWarner @NancyPelosi @HillaryClinton @MSNBC @maddow @washingtonpost",FISA,,0,5,Class_of_78
7,['get'],I get stuck on things.,nan,,0,6,cjpfeiff
8,['session'],"Tonight's special, Session brought in Carter Page, a foreign agent:",nan,Session::*2*||Carter Page::*5*6*||,1,6,cjpfeiff
9,"['flynn', 'russians']",I guess this explains the interview he gave after Flynn resigned where he blathered incoherently when asked about his contact with Russians,nan,Flynn::*9*||Russians::*21*||,0,7,pignponyrfriend
10,['lose'],May the media never lose focus,nan,,0,8,itsShonny
11,"['looks', 'looks', 'right']",@CassandraRules Looks like someone else is having a bad day and looks like @LouiseMensch was right!,nan,Looks::*1*||,0,9,GilesBgiles1974
12,[],Well well well.,nan,,0,10,em_div
13,"['susan rice', 'go']",Guess that Susan Rice nonsense can go away now.,nan,Susan Rice::*2*3*||,1,10,em_div
14,[],Still about the leak problem?,nan,,2,10,em_div
15,['trump'],"@FoxNews @krauthammer ,,Trump's team of foreign policy advisers  Carter Page",nan,Trump's::*2*||Carter Page::*8*9*||,0,11,Bennythesnitch
16,"['wonder', 'carter page', 'trump', 'trump']",No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.,nan,Carter Page::*2*3*||Trump::*6*||Trump::*10*||Trump Tower::*16*17*||,0,12,mallsta
17,['one'],He's one of the most complicit.,nan,,1,12,mallsta
18,"['steele', 'savior']",@BrianPaulStuart @realDonaldTrump And now Steele the Savior is going to be proven to be a hack!,nan,Steele::*4*||Savior::*6*||,0,13,EricJGilbert
19,"['trump', 'carter page']","@chrislhayes Please ask Trump, why he chose Carter Page.",nan,Trump::*3*||Carter Page::*7*8*||,0,14,berserkbd
20,[],Who told him to hire him?,nan,,1,14,berserkbd
21,"['report fbi', 'fisa warrant', 'trump', 'carter page', 'thehill']",Report: FBI granted FISA warrant to surveil ex-Trump aide Carter Page | TheHill,nan,Report FBI::*0*1*||FISA::*3*||Carter Page::*9*10*||TheHill::*12*||,0,15,ngunn7
22,"['fbi', 'trump', 'carter page']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a...  by  via @c0nvey,deray,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,0,16,GaryKGreen
23,[],Very well explained take on Carter/ Russia/ FISA/ Trump sitch.,nan,Carter::*5*||Russia::*6*||FISA::*7*||Trump::*8*||,0,17,jannypie
24,[],Maxine Waters.,nan,nan,0,18,thecircledancer
25,[],Mam.,nan,nan,1,18,thecircledancer
26,[],Esq.,nan,nan,2,18,thecircledancer
27,[],Keep On.,nan,nan,3,18,thecircledancer
28,"['fbi', 'carter page']",A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia,trumprussia,FBI::*5*||Carter Page::*10*11*||Russia::*19*||,0,19,funder
29,"['fbi', 'fisa warrant', 'trump', 'carter page the washington post']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post so there was surveillance,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||,0,20,LSURay
30,"['really', 'hocaust centers', 'carter page']","""Sean, say something really fucked up today maybe say Hocaust Centers or something so they don't talk about Carter Page""",nan,Hocaust Centers::*9*10*||Carter Page::*18*19*||,0,21,Diane_Warren
31,['great'],Great,nan,nan,0,22,CaronScott5
32,"['chris hayes carter', 'page', 'fbi', 'fisa warrant']","Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant.",nan,Chris Hayes Carter::*3*4*5*||FBI::*10*||FISA::*12*||,0,23,TrumpHaterShirt
33,['carter'],"Buh bye, Carter.",nan,Carter::*2*||,1,23,TrumpHaterShirt
34,"['fbi', 'fisa warrant', 'trump', 'carter page']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page.,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,0,24,christineltroch
35,[],This is huge.,nan,,0,25,racheline_m
36,"['fisa warrant', 'us']",Bar for a FISA warrant targetting US person is knowingly acting as foreign agent in a way that violates,nan,FISA::*3*||US::*6*||,1,25,racheline_m
37,[],Umm.,nan,nan,0,26,JetlifeMegs
38,['tell'],Should we tell him he's delusional?,nan,,1,26,JetlifeMegs
