,2nd Iteration Candidates,TweetSentence,hashtags,phase1Candidates,sentID,tweetID,user,completeness,candidates_with_label
0,"['report', 'fbi', 'fisa warrant', 'trump']","REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'",RussiaGate,nan,0,0,JanKimbrough,True,"[('report', 'b'), ('fbi', 'g'), ('fisa warrant', 'b'), ('trump', 'g')]"
1,[],BUSTED....,nan,nan,0,1,zi_cam,True,[]
2,"['carter page', 'fisa']",Carter Page is trending but 3 weeks ago there were no FISA warrants on team Trump.,nan,Carter Page::*0*1*||FISA::*11*||Trump::*15*||,0,2,sicsemp4ever,True,"[('carter page', 'g'), ('fisa', 'g')]"
3,"['love', 'liberals']",I love how liberals have a 36 hour memory,nan,,1,2,sicsemp4ever,True,"[('love', 'b'), ('liberals', 'b')]"
4,"['looks', 'time']",Looks like it might be time for some more tomahawks…,nan,,0,3,raponikoff,True,"[('looks', 'b'), ('time', 'b')]"
5,"['sean spicer', 'carter page']",Sean Spicer on Carter Page:,nan,nan,0,4,MsEntropy,False,"[('sean spicer', 'a'), ('carter page', 'g')]"
6,['carter page'],"""Carter Page""  @FBI @AdamSchiffCA @MarkWarner @NancyPelosi @HillaryClinton @MSNBC @maddow @washingtonpost",FISA,Carter Page::*0*1*||,0,5,Class_of_78,True,"[('carter page', 'g')]"
7,['get'],I get stuck on things.,nan,,0,6,cjpfeiff,True,"[('get', 'b')]"
8,['session'],"Tonight's special, Session brought in Carter Page, a foreign agent:",nan,Session::*2*||Carter Page::*5*6*||,1,6,cjpfeiff,True,"[('session', 'na')]"
9,"['flynn', 'russians']",I guess this explains the interview he gave after Flynn resigned where he blathered incoherently when asked about his contact with Russians,nan,Flynn::*9*||Russians::*21*||,0,7,pignponyrfriend,True,"[('flynn', 'g'), ('russians', 'g')]"
10,['lose'],May the media never lose focus,nan,,0,8,itsShonny,True,"[('lose', 'b')]"
11,"['looks', 'bad', 'looks', 'right']",@CassandraRules Looks like someone else is having a bad day and looks like @LouiseMensch was right!,nan,Looks::*1*||,0,9,GilesBgiles1974,True,"[('looks', 'b'), ('bad', 'b'), ('looks', 'b'), ('right', 'b')]"
12,[],Well well well.,nan,nan,0,10,em_div,True,[]
13,"['susan rice', 'go']",Guess that Susan Rice nonsense can go away now.,nan,Susan Rice::*2*3*||,1,10,em_div,True,"[('susan rice', 'g'), ('go', 'b')]"
14,[],Still about the leak problem?,nan,,2,10,em_div,True,[]
15,['trump'],"@FoxNews @krauthammer ,,Trump's team of foreign policy advisers  Carter Page",nan,Trump's::*2*||Carter Page::*8*9*||,0,11,Bennythesnitch,True,"[('trump', 'g')]"
16,"['wonder', 'carter page', 'trump', 'trump']",No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.,nan,Carter Page::*2*3*||Trump::*6*||Trump::*10*||Trump Tower::*16*17*||,0,12,mallsta,True,"[('wonder', 'b'), ('carter page', 'g'), ('trump', 'g'), ('trump', 'g')]"
